factor	motif	correlation	abs_correlation	pval	permutation_pval	combined	p_adj	-log10(p-value)	motif_stddev
SNAI2	GM.5.0.C2H2_ZF.0002	-0.0031615719345279816	0.0031615719345279816	0.49033257795123586	0.4922978303747534	0.5844871224657309	0.5940147696719136	0.2262027565217243	0.034522135560773826
ZEB1	GM.5.0.C2H2_ZF.0002	-0.4782537434175643	0.4782537434175643	0.005669002755745778	0.0002958579881656709	2.3981513668788497e-05	0.0022482669064489216	2.6481521321078225	0.034522135560773826
SNAI1	GM.5.0.C2H2_ZF.0002	-0.16221052731826768	0.16221052731826768	0.15795990879460609	0.1366370808678501	0.10437282932670155	0.21988657863771394	0.6578012781492857	0.034522135560773826
SNAI2	GM.5.0.C2H2_ZF.0005	-0.010157529754023967	0.010157529754023967	0.4693889098717249	0.46560157790927026	0.55090511567282	0.5800105799047977	0.236564084450225	0.026949755509908822
KLF2	GM.5.0.C2H2_ZF.0006	-0.2419353726050125	0.2419353726050125	0.08286814385832386	0.09425049309664701	0.045708619397024135	0.13712585819107243	0.8628806414119023	0.017961234804492944
KLF4	GM.5.0.C2H2_ZF.0006	0.33971571792332833	0.33971571792332833	0.032106816624001625	0.13016765285996057	0.027071711765123265	0.1032425051809853	0.9861414658379908	0.017961234804492944
IRF1	GM.5.0.C2H2_ZF.0006	0.1206988969983956	0.1206988969983956	0.21646320309986436	0.22916173570019724	0.1986019853726978	0.31096344265036185	0.5072906643121545	0.017961234804492944
GLIS3	GM.5.0.C2H2_ZF.0007	-0.20939858287675484	0.20939858287675484	0.10857400646271342	0.13793885601577915	0.07789717660221118	0.19281479356982964	0.7148596482378006	0.014315367095590885
PLAGL1	GM.5.0.C2H2_ZF.0007	-0.3500028147989277	0.3500028147989277	0.028520919887532026	0.020394477317554283	0.004914877507866653	0.04168946236406462	1.379973705589116	0.014315367095590885
KLF4	GM.5.0.C2H2_ZF.0009	0.3898236241808088	0.3898236241808088	0.017742176899296424	0.08062130177514788	0.010799218527093684	0.062303183810155864	1.2054897595069307	0.028077825777879005
KLF2	GM.5.0.C2H2_ZF.0009	-0.18283359600677804	0.18283359600677804	0.1343793976527201	0.17828402366863916	0.11335503002134881	0.22977370950273407	0.6386996643817298	0.028077825777879005
KLF4	GM.5.0.C2H2_ZF.0013	0.4103391548639938	0.4103391548639938	0.013676052988655272	0.06290927021696248	0.006932851276837506	0.04905319299649179	1.3093327180368521	0.020430951001802672
KLF2	GM.5.0.C2H2_ZF.0013	-0.17648503917216804	0.17648503917216804	0.1412835200805741	0.1884516765285995	0.1231651328587941	0.24175884143094828	0.6166176342482319	0.020430951001802672
OSR1	GM.5.0.C2H2_ZF.0016	-0.15260121924730108	0.15260121924730108	0.17012023165050993	0.19821499013806698	0.1480207632000738	0.26552806166996	0.5758895748295324	0.015479059662544658
OSR2	GM.5.0.C2H2_ZF.0016	-0.3736107775093556	0.3736107775093556	0.0215656692825269	0.013530571992110496	0.0026668552990869662	0.03030517385326098	1.5184832202071692	0.015479059662544658
ZNF711	GM.5.0.C2H2_ZF.0017	0.0047310038025342015	0.0047310038025342015	0.48596388154489634	0.46032544378698226	0.5586817383488606	0.5814257426076386	0.23550574376450864	0.010807222845021947
KLF2	GM.5.0.C2H2_ZF.0019	-0.1951235476563231	0.1951235476563231	0.12185844978807336	0.1597140039447731	0.09613046316434382	0.2117626870199247	0.6741505609845587	0.03392261214338029
EGR2	GM.5.0.C2H2_ZF.0020	-0.06041088050467026	0.06041088050467026	0.3319858156028368	0.12032544378698218	0.1685822740202752	0.28412742812405933	0.5464868398147091	0.02108638399424225
EGR3	GM.5.0.C2H2_ZF.0020	0.043860981557443	0.043860981557443	0.37394323443423283	0.2999704142011835	0.3575729341281238	0.4522423281552999	0.3446287917828635	0.02108638399424225
EGR4	GM.5.0.C2H2_ZF.0020	-0.0034380175213225904	0.0034380175213225904	0.4895059940968288	0.46039447731755423	0.5611677813179436	0.5821242544791947	0.23498430525552616	0.02108638399424225
EGR1	GM.5.0.C2H2_ZF.0020	-0.1164078466538145	0.1164078466538145	0.222885629555024	0.17119329388560156	0.16277796809743814	0.2796749916477613	0.5533463662168014	0.02108638399424225
MYC	GM.5.0.C2H2_ZF.0024	0.08478360201006181	0.08478360201006181	0.2794522780365661	0.2433530571992111	0.2508157981186332	0.3625223203619413	0.4406652489230478	0.02231834473540116
ATF3	GM.5.0.C2H2_ZF.0026	-0.27665992361980735	0.27665992361980735	0.060907367773161525	0.19668639053254433	0.0649841627500375	0.17468860954311158	0.7577354119824173	0.008529054628631749
HIC1	GM.5.0.C2H2_ZF.0028	-0.21666019856394328	0.21666019856394328	0.10232259012128087	0.07110453648915183	0.04309504656512693	0.13411321545163982	0.8725284248707352	0.011895541199126936
GLIS2	GM.5.0.C2H2_ZF.0030	0.18698879035573326	0.18698879035573326	0.13025256340313618	0.0242011834319527	0.021308164580300305	0.09685529354681957	1.013876638286652	0.018376715543732797
GLIS3	GM.5.0.C2H2_ZF.0030	0.30803625909100957	0.30803625909100957	0.04498349350231507	0.006449704142011825	0.0026532933243500214	0.03030517385326098	1.5184832202071692	0.018376715543732797
OSR2	GM.5.0.C2H2_ZF.0033	-0.20283541671440355	0.20283541671440355	0.11452893533089936	0.13410256410256405	0.07949743747370354	0.19421198079895002	0.7117239822839418	0.009321638897816634
PPARGC1A	GM.5.0.C2H2_ZF.0037	0.030375063847690512	0.030375063847690512	0.4108263040832599	0.344723865877712	0.41843475522484896	0.48681475204857694	0.3126362697266471	0.019632181669016882
ZEB1	GM.5.0.C2H2_ZF.0038	-0.40438010484554165	0.40438010484554165	0.014691971966931061	0.03799802761341231	0.004740054847385984	0.04133768762255219	1.3836538209078948	0.016917690472254394
ZNF382	GM.5.0.C2H2_ZF.0039	0.09125490283902933	0.09125490283902933	0.26695916740106596	0.028974358974358978	0.045342426189623426	0.13657357286031152	0.8646333289948182	0.011062262855938348
ZEB1	GM.5.0.C2H2_ZF.0042	-0.17822368796097054	0.17822368796097054	0.13937960748108058	0.3081952662721893	0.17816382675499218	0.29367663750822887	0.5321306009910679	0.00849991072170405
EGR2	GM.5.0.C2H2_ZF.0043	0.11057168163909391	0.11057168163909391	0.23284876970638024	0.013708086785009925	0.021536256784818623	0.09730236499165042	1.011876603818583	0.006713970385203533
EGR3	GM.5.0.C2H2_ZF.0043	-0.02348749842776331	0.02348749842776331	0.43009449270496736	0.39561143984220903	0.47149892452470443	0.5301712044880484	0.275583864063419	0.006713970385203533
EGR4	GM.5.0.C2H2_ZF.0043	-0.011532544416724036	0.011532544416724036	0.46530334186635325	0.3637080867850099	0.4698746608367632	0.5300502587036913	0.2756829491863055	0.006713970385203533
EGR1	GM.5.0.C2H2_ZF.0043	0.05347412711703329	0.05347412711703329	0.3493089652664121	0.32861932938856014	0.3632695804021182	0.4545445805266239	0.3424235159024306	0.006713970385203533
OVOL1	GM.5.0.C2H2_ZF.0046	-0.3674682405504762	0.3674682405504762	0.023215689565935116	0.1667357001972387	0.025370829483352664	0.10230173178771236	0.9901170143867513	0.01503745960727747
HIVEP1	GM.5.0.C2H2_ZF.0051	0.026915929976435635	0.026915929976435635	0.4206591408228069	0.29929980276134116	0.3868050846631795	0.46790937660868487	0.32983825173321346	0.014531007849193096
PRDM1	GM.5.0.C2H2_ZF.0052	0.005480129987594294	0.005480129987594294	0.4837140319218879	0.49108481262327414	0.5789912015773473	0.5925556325415872	0.22727086933202317	0.014332514314636412
ETS1	GM.5.0.C2H2_ZF.0053	0.09525990461073587	0.09525990461073587	0.25947857652440304	0.29102564102564105	0.2706020517769361	0.3804138993564043	0.41974362342886806	0.008388033548484348
PRDM1	GM.5.0.C2H2_ZF.0055	-0.4475143607728663	0.4475143607728663	0.008449298473848343	0.011558185404339283	0.0009994409339249685	0.018725654823502535	1.7275629863782254	0.011625966706507309
IRF1	GM.5.0.C2H2_ZF.0055	-0.05348235830349062	0.05348235830349062	0.3487652999846125	0.381508875739645	0.4014301139535461	0.47713563465159997	0.3213581471496599	0.011625966706507309
HIC1	GM.5.0.C2H2_ZF.0056	0.1849138335882394	0.1849138335882394	0.13240750066445642	0.13233727810650892	0.08838800314554836	0.2007729331437625	0.6972948362413356	0.0224499803677113
BCL11B	GM.5.0.C2H2_ZF.0062	-0.1287958789639736	0.1287958789639736	0.2035560311665059	0.08295857988165678	0.08580526754845855	0.19923823734162202	0.7006273091209093	0.0067858090677381366
KLF15	GM.5.0.C2H2_ZF.0065	0.20022655003228737	0.20022655003228737	0.11715116035083298	0.0388067061143984	0.02906623721795622	0.10582367919158818	0.9754171433442391	0.008302315618039784
KLF10	GM.5.0.C2H2_ZF.0072	0.14529800181526994	0.14529800181526994	0.18020703064892912	0.16667652859960555	0.1353239409662587	0.25184356259229285	0.5988691457249744	0.02882705531396498
KLF2	GM.5.0.C2H2_ZF.0081	0.1335415534567709	0.1335415534567709	0.19691216584833612	0.26259368836291913	0.2048741582128122	0.31422416903805556	0.5027604135793886	0.016161518123456724
PRDM1	GM.5.0.C2H2_ZF.0085	-0.14758743273913072	0.14758743273913072	0.17678542951865384	0.3243984220907298	0.22128659933885442	0.3319298990082816	0.4789536262009939	0.012523537227241269
ZNF423	GM.5.0.C2H2_ZF.0089	-0.10850940154904634	0.10850940154904634	0.2359031712059536	0.24924063116370798	0.22540699161100056	0.3362316303148894	0.47336143359416	0.017455364628909155
KLF15	GM.5.0.C2H2_ZF.0091	-0.11304020510537573	0.11304020510537573	0.22834669240561223	0.2254832347140039	0.20422337902522045	0.31386789809203963	0.5032531009754209	0.008212585982695525
HIC1	GM.5.0.C2H2_ZF.0092	-0.2623952552492865	0.2623952552492865	0.06932092548295499	0.017603550295857917	0.009406838447191392	0.0587927402949462	1.2306762971295324	0.012645665414315003
OSR1	GM.5.0.C2H2_ZF.0106	-0.19690851821530586	0.19690851821530586	0.12011099920265222	0.12107495069033536	0.07606688002474873	0.19119010727835983	0.7185345831141563	0.014361999251220777
OSR2	GM.5.0.C2H2_ZF.0106	-0.41660904438756324	0.41660904438756324	0.012571306671142923	0.005325443786982187	0.0007104229719558363	0.01657611589246651	1.7805172255399073	0.014361999251220777
OVOL1	GM.5.0.C2H2_ZF.0109	0.3752769259006918	0.3752769259006918	0.02123113293326057	0.15603550295857985	0.02222882052912753	0.09732286691963214	1.0117851061834988	0.00621063537075946
RUNX1	GM.5.0.C2H2_ZF.0110	0.11563043497555003	0.11563043497555003	0.22456852294822838	0.09130177514792905	0.10020389702064654	0.21648955378687765	0.6645630547016963	0.024567838617749766
PLAGL1	GM.5.0.C2H2_ZF.0113	-0.013180170759485334	0.013180170759485334	0.46041350175556395	0.4802268244575937	0.5547752936988347	0.5811193718912375	0.23573464690636617	0.012523082280564196
RUNX1	GM.5.0.C2H2_ZF.0122	-0.023658146926742424	0.023658146926742424	0.42959468155049174	0.4112524654832348	0.4829256890211797	0.536111100032083	0.27074520073444563	0.009460425431127486
KLF2	GM.5.0.C2H2_ZF.0125	-0.07379911864007906	0.07379911864007906	0.30169723166449847	0.36607495069033535	0.35377893324167986	0.4481996620460471	0.34852847526992725	0.00721096719220925
GLI3	GM.5.0.C2H2_ZF.0127	0.11339689010839267	0.11339689010839267	0.22820827563053428	0.2355029585798816	0.21086502668976315	0.32117613482142227	0.4932567326973014	0.01098683576076199
RUNX1	GM.5.0.C2H2_ZF.0128	0.12978923480692137	0.12978923480692137	0.20247863247863251	0.058875739644970365	0.06472486892607215	0.17461745213868388	0.7579123529056191	0.01942640675520045
GLIS2	GM.5.0.C2H2_ZF.0130	0.197740405274092	0.197740405274092	0.11952368962188928	0.011666666666666714	0.010563268895915199	0.062303183810155864	1.2054897595069307	0.018984835824638117
ZBTB16	GM.5.0.C2H2_ZF.0131	-0.24818300130514295	0.24818300130514295	0.0785565207660135	0.16470414201183425	0.06918961543946058	0.18018129020692858	0.7442903075952894	0.026862715625249133
ZEB1	GM.5.0.C2H2_ZF.0133	-0.4337991557812933	0.4337991557812933	0.010066515590247183	0.014023668639053244	0.001392714470240831	0.023583069405633095	1.6273996708619307	0.007214506728921365
POU2F2	GM.5.0.C2H2_ZF.0133	-0.23811387173781345	0.23811387173781345	0.0856043756207423	0.18805719921104536	0.08256975518342184	0.19785085107848685	0.7036620772256232	0.007214506728921365
KLF2	GM.5.0.C2H2_ZF.0144	-0.15780651325228312	0.15780651325228312	0.16345489389679246	0.21979289940828406	0.15542718725059623	0.27363941417358495	0.5628213480145241	0.011863185880520622
HIVEP1	GM.5.0.C2H2_ZF.0151	0.05198167872206216	0.05198167872206216	0.35305992697973054	0.12492110453648919	0.18176360162239588	0.29764781925064826	0.5262972950066653	0.022975091633055913
PRDM1	GM.5.0.C2H2_ZF.0153	-0.32248021547336525	0.32248021547336525	0.03863891336886427	0.10838264299802758	0.02711836469420547	0.1032425051809853	0.9861414658379908	0.008401724792036866
ZNF423	GM.5.0.C2H2_ZF.0158	0.07857294834868814	0.07857294834868814	0.29202260550869386	0.32111439842209066	0.31572148290312413	0.4157989211882585	0.38111664180251537	0.011018021674814107
PRDM5	GM.5.0.C2H2_ZF.0167	-0.1263127633358881	0.1263127633358881	0.20731545595702716	0.20702169625246536	0.17804628668752304	0.29367663750822887	0.5321306009910679	0.014973017537693102
OVOL1	GM.5.0.C2H2_ZF.0168	-0.5510413820425117	0.5510413820425117	0.002228097416313468	0.005246548323471378	0.00014444868504360318	0.006491727213442106	2.187639737796188	0.01278856144145197
GLIS3	GM.5.0.C2H2_ZF.0169	0.2643654561943783	0.2643654561943783	0.0682432470239344	0.0480571992110454	0.022038904593160068	0.09732286691963214	1.0117851061834988	0.008347866802164849
PRDM1	GM.5.0.C2H2_ZF.0178	-0.4332130247856667	0.4332130247856667	0.010141913914417988	0.017307692307692246	0.001693487912331731	0.024904234004878397	1.6037268115935315	0.017084552941204586
HIC1	GM.5.0.C2H2_ZF.0179	0.13330784538266918	0.13330784538266918	0.19725649418775448	0.2404240631163708	0.19200576184429113	0.3044488824169521	0.5164856158319635	0.018503334240206594
EGR3	GM.5.0.C2H2_ZF.0182	0.12389484043754297	0.12389484043754297	0.21148523507770647	0.0354240631163708	0.044155611819894615	0.13439211252320088	0.8716262192894035	0.014115958919251603
EGR4	GM.5.0.C2H2_ZF.0182	0.03299228549910039	0.03299228549910039	0.40345272567040164	0.11493096646942803	0.18877460566165136	0.30382179022797967	0.5173810815713095	0.014115958919251603
EGR1	GM.5.0.C2H2_ZF.0185	0.08106640846744431	0.08106640846744431	0.28690692013932606	0.25218934911242596	0.26237123957279507	0.3726864198477203	0.4286564320184988	0.01092193011570965
EGR2	GM.5.0.C2H2_ZF.0190	-0.04493717008386146	0.04493717008386146	0.3705184159357645	0.19154832347140038	0.2587267657603478	0.3682069721447075	0.4339079922162913	0.009133562138890204
EGR1	GM.5.0.C2H2_ZF.0190	-0.11284584070228067	0.11284584070228067	0.22866807951096002	0.17868836291913215	0.17151512527215365	0.2871346963261501	0.5419143257461079	0.009133562138890204
RUNX1	GM.5.0.C2H2_ZF.0200	-0.10966588175323602	0.10966588175323602	0.2339679242379734	0.10665680473372785	0.11705325650879261	0.23224852481903296	0.6340470358488026	0.009372480838333095
KLF4	GM.5.0.C2H2_ZF.0203	0.3871342229684626	0.3871342229684626	0.018340257669226503	0.08314595660749503	0.01141525523088747	0.06363337700370908	1.1963150282778547	0.022868630136319824
EGR1	GM.5.0.C2H2_ZF.0212	0.07427482164371586	0.07427482164371586	0.3010869808496649	0.26967455621301784	0.2850689065114559	0.3932561518943268	0.4053244747749574	0.019096101546798687
GLI3	GM.5.0.C2H2_ZF.0217	0.1245966386711001	0.1245966386711001	0.21039825422804143	0.20906311637080863	0.18139476412094468	0.29764781925064826	0.5262972950066653	0.01783581773107841
EGR4	GM.5.0.C2H2_ZF.0223	-0.01682516551807318	0.01682516551807318	0.44961944129701903	0.29957593688362916	0.40472409774335877	0.4784202532935071	0.32019044334358665	0.0265003338165618
EGR1	GM.5.0.C2H2_ZF.0232	-0.010483499720619457	0.010483499720619457	0.46843055380698584	0.46704142011834326	0.5512521134543198	0.5800105799047977	0.236564084450225	0.010027856318243095
ZNF165	GM.5.0.C2H2_ZF.0249	-0.4031845248369228	0.4031845248369228	0.014919635737966397	0.01396449704142011	0.001974344662606978	0.027421453647319138	1.5619095264146416	0.014396264389900871
OVOL1	GM.5.0.C2H2_ZF.0264	-0.5299873200442069	0.5299873200442069	0.0029252171723530562	0.014211045364891484	0.00046093761322269866	0.01377308576150368	1.8609687482645638	0.018892053766471364
KLF2	GM.5.0.C2H2_ZF.0268	-0.1985676111255019	0.1985676111255019	0.11851994068851679	0.15412228796844174	0.09138183080069646	0.20519872185785132	0.6878253486860061	0.027010219887480938
EGR1	GM.5.0.C2H2_ZF.0277	0.10435072628072485	0.10435072628072485	0.24336928392574875	0.1947041420118343	0.19188319044703983	0.3044488824169521	0.5164856158319635	0.009187244213198238
EGR4	GM.5.0.C2H2_ZF.0292	-0.021672109919163355	0.021672109919163355	0.43536901814315887	0.23999013806706115	0.34048485097889103	0.4367823372847395	0.35973493205897	0.019254285944789264
OSR2	GM.5.0.C2H2_ZF.0295	0.0316344619424537	0.0316344619424537	0.40726271909577966	0.4341518737672584	0.4831717845980604	0.536111100032083	0.27074520073444563	0.008143055015630913
OSR2	GM.5.0.C2H2_ZF.0299	-0.1358575887497175	0.1358575887497175	0.19316127407780437	0.2304832347140039	0.18305943630587573	0.2984664722378409	0.5251044475828694	0.008404027123852641
OSR2	GM.5.0.C2H2_ZF.0306	-0.11646152992554648	0.11646152992554648	0.2227951235889043	0.26463510848126237	0.22586796457477823	0.3362316303148894	0.47336143359416	0.014226711807620349
KLF2	GM.5.0.C2H2_ZF.0314	-0.2085312702546822	0.2085312702546822	0.1093512107096396	0.14028599605522685	0.0794215040317543	0.19421198079895002	0.7117239822839418	0.03747160095878869
RUNX1	GM.5.0.C2H2_ZF.0315	-0.1234264735038781	0.1234264735038781	0.21175528417754275	0.07156804733727806	0.07864536454256534	0.19339024067843935	0.7135654461084657	0.023419504243641524
ZEB1	GM.5.0.C2H2_ZF_Homeodomain.0001	-0.48534409714334587	0.48534409714334587	0.005180522332731807	0.00012820512820510555	1.0111800706010095e-05	0.0015045552386861877	2.8225918628150883	0.0388556306287144
ZEB1	GM.5.0.C2H2_ZF_Homeodomain.0002	-0.47481708667316025	0.47481708667316025	0.00592660203953177	0.0005424063116370448	4.387257569579357e-05	0.003656047974649464	2.436988114090057	0.056112586922966785
ZEB1	GM.5.0.C2H2_ZF_Homeodomain.0003	0.42293095205007714	0.42293095205007714	0.011616167974596721	0.022120315581854014	0.0023810876248314327	0.030268063027518215	1.519015370367386	0.019530955681537142
TCF4	GM.5.0.C2H2_ZF_Homeodomain.0004	-0.5887689463406746	0.5887689463406746	0.0013304516905171537	0.03589743589743588	0.0005229376756331874	0.014191964219188528	1.8479574924551736	0.007742226649612157
ZEB1	GM.5.0.C2H2_ZF_Homeodomain.0004	-0.4890736991650459	0.4890736991650459	0.004937541091387221	3.944773175545979e-05	3.2043223402212252e-06	0.0012016208775829595	2.9202325346172815	0.007742226649612157
ZEB1	GM.5.0.C2H2_ZF_Homeodomain.0005	-0.45243371319325265	0.45243371319325265	0.007925427000713414	0.005335305719921135	0.00046813626930858077	0.01377308576150368	1.8609687482645638	0.015874602871644328
SREBF1	GM.5.0.CBF_NF-Y.0001	-0.15934198674112854	0.15934198674112854	0.1615230041825787	0.08378698224852077	0.07176267160648661	0.1843219304961129	0.7344229896489249	0.013790051814586993
FOS	GM.5.0.CBF_NF-Y.0002	-0.24701575585915989	0.24701575585915989	0.07934617482898987	0.1492603550295858	0.06437982153432056	0.17431359621205927	0.7586687372182643	0.013857078989654478
E2F7	GM.5.0.DP_E2F.0001	-0.11225279290392227	0.11225279290392227	0.2296469288122316	0.16417159763313605	0.16128911604187857	0.27855794232741954	0.5550844542937595	0.0190194659203048
E2F7	GM.5.0.E2F.0002	-0.035164832200526526	0.035164832200526526	0.39689118301229587	0.3881755424063116	0.4422223020048467	0.5094726981622658	0.2928790841897787	0.010628279612937169
E2F7	GM.5.0.E2F.0006	-0.037980843785683935	0.037980843785683935	0.3891701987774001	0.37942800788954634	0.4301143551016209	0.49781754062687605	0.30292980506922335	0.00855106876903786
E2F7	GM.5.0.E2F.0008	-0.0021041047370454697	0.0021041047370454697	0.4935088197854155	0.49657790927021694	0.5896840081654582	0.594080864699412	0.22615443599108184	0.011577379084839658
ETS2	GM.5.0.Ets.0001	-0.3809135857029105	0.3809135857029105	0.01973869374851378	0.018096646942800776	0.00319240620711559	0.031094865653723276	1.5073113152284185	0.008393716671369934
ELF3	GM.5.0.Ets.0002	0.7948320524392849	0.7948320524392849	6.994278678007504e-08	9.861932938832752e-06	2.000502803274781e-11	1.5003771024560858e-08	7.823799572322469	0.024262873588254415
ETS2	GM.5.0.Ets.0003	-0.0024567021305608536	0.0024567021305608536	0.4924477177668667	0.49895463510848126	0.5905880634142735	0.594080864699412	0.22615443599108184	0.006735714259332278
FLI1	GM.5.0.Ets.0003	0.09147236469013428	0.09147236469013428	0.26654783387189285	0.23272189349112424	0.23448612314432418	0.34483253403577085	0.46239176638080826	0.006735714259332278
ETS1	GM.5.0.Ets.0003	0.09059449539451049	0.09059449539451049	0.2681958957572705	0.30204142011834323	0.2845935523066521	0.3932561518943268	0.4053244747749574	0.006735714259332278
ERG	GM.5.0.Ets.0003	0.29382766437396823	0.29382766437396823	0.05182389805139394	0.020187376725838247	0.008225763864982102	0.05508324016729086	1.258980521113253	0.006735714259332278
ETS1	GM.5.0.Ets.0005	-0.23834206494265922	0.23834206494265922	0.08543770195979694	0.009418145956607393	0.0065379693314175135	0.0471488172938763	1.3265291968648378	0.013420464753391027
ETS2	GM.5.0.Ets.0006	-0.2912037354069096	0.2912037354069096	0.05305754892497927	0.12301775147928995	0.03936971238443045	0.1272727771048398	0.8952644794372158	0.011081072508302682
ETS1	GM.5.0.Ets.0006	0.14798049154390794	0.14798049154390794	0.17655832528991283	0.16769230769230772	0.13381773907238131	0.2511330978742036	0.6000960460410864	0.011081072508302682
ETS2	GM.5.0.Ets.0007	0.4066950230116498	0.4066950230116498	0.01433666260998507	0.004812623274161752	0.0007300877152643858	0.01657611589246651	1.7805172255399073	0.009095891142327691
ETS1	GM.5.0.Ets.0011	0.12084071314293231	0.12084071314293231	0.2162471498314379	0.23259368836291913	0.20067762498182098	0.3109673940834003	0.5072851457385034	0.011413107143961322
ETS2	GM.5.0.Ets.0011	-0.3174602107684011	0.3174602107684011	0.04072677549764292	0.08678500986193294	0.023487251883271224	0.09732286691963214	1.0117851061834988	0.011413107143961322
FLI1	GM.5.0.Ets.0012	0.07960921230424263	0.07960921230424263	0.28988991005357617	0.2708875739644971	0.27832571002251283	0.3887230586906604	0.4103596966594733	0.007165409553360056
ETV5	GM.5.0.Ets.0012	-0.022981906616458467	0.022981906616458467	0.4315688167079329	0.42535502958579885	0.49475032042016553	0.5442008393388993	0.26424079272904444	0.007165409553360056
ETS2	GM.5.0.Ets.0013	0.143230994817471	0.143230994817471	0.183056289954817	0.32370808678500995	0.22670909809494733	0.3362316303148894	0.47336143359416	0.008471400099899367
ETV5	GM.5.0.Ets.0013	-0.0594776033496992	0.0594776033496992	0.3341866353322982	0.31040433925049316	0.33878519277858044	0.4358300078626678	0.3606828709220018	0.008471400099899367
ERG	GM.5.0.Ets.0013	-0.05738436765391657	0.05738436765391657	0.3392158014743939	0.3771696252465483	0.39101334437198637	0.47030114193806627	0.3276239667423348	0.008471400099899367
ETS1	GM.5.0.Ets.0013	-0.06867144277264838	0.06867144277264838	0.3129684418145956	0.34946745562130177	0.3514129065465469	0.4474697451781157	0.34923632335675436	0.008471400099899367
FLI1	GM.5.0.Ets.0013	-0.03570837647178901	0.03570837647178901	0.39538468532740223	0.3983234714003945	0.4485953122732671	0.5137167339277467	0.28927628723631327	0.008471400099899367
ELF3	GM.5.0.Ets.0013	0.3535601782435044	0.3535601782435044	0.027434288751801005	0.2707100591715977	0.04383757246728008	0.13439211252320088	0.8716262192894035	0.008471400099899367
ETS1	GM.5.0.Ets.0018	0.25786081387860477	0.25786081387860477	0.0723176941262048	0.002218934911242627	0.0015625459111501614	0.023916519048216758	1.6213020298743046	0.01143123590806619
ETS2	GM.5.0.Ets.0020	-0.3701991831072176	0.3701991831072176	0.02246772140389164	0.025848126232741575	0.004908017516536777	0.04168946236406462	1.379973705589116	0.014283902205293603
ETS1	GM.5.0.Ets.0020	0.24802519551773014	0.24802519551773014	0.07878523367885065	0.004398422090729781	0.0031075277139846758	0.03095630175548767	1.509250928580873	0.014283902205293603
FLI1	GM.5.0.Ets.0022	-0.1617748478069231	0.1617748478069231	0.15848958551904546	0.01934911242603543	0.020813773913774824	0.09685529354681957	1.013876638286652	0.01295253959468664
ETS2	GM.5.0.Ets.0024	-0.24622606437659458	0.24622606437659458	0.07988718228489089	0.18872781065088762	0.07831847517489328	0.19321992230648014	0.7139480968557856	0.008005413103844212
ETS2	GM.5.0.Ets.0025	-0.11003004384929573	0.11003004384929573	0.2333599815351043	0.3703057199211045	0.29800911488697246	0.40324984142990417	0.3944257947167595	0.005770129075128961
FLI1	GM.5.0.Ets.0025	0.09350500096510804	0.09350500096510804	0.2627355323345503	0.22620315581854045	0.2272028180082894	0.3362316303148894	0.47336143359416	0.005770129075128961
